#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 320 200
# Band-Index    1
   1.57040    -17.190381    -17.190382
   1.56343    -17.190353    -17.190353
   1.55645    -17.190310    -17.190311
   1.54947    -17.190280    -17.190280
   1.54250    -17.190243    -17.190243
   1.53552    -17.190206    -17.190207
   1.52854    -17.190176    -17.190176
   1.52157    -17.190138    -17.190138
   1.51459    -17.190108    -17.190108
   1.50761    -17.190073    -17.190073
   1.50064    -17.190029    -17.190029
   1.49366    -17.189994    -17.189994
   1.48668    -17.189958    -17.189958
   1.47970    -17.189926    -17.189926
   1.47273    -17.189884    -17.189885
   1.46575    -17.189832    -17.189833
   1.45877    -17.189789    -17.189790
   1.45180    -17.189750    -17.189751
   1.44482    -17.189705    -17.189705
   1.43784    -17.189665    -17.189666
   1.43087    -17.189624    -17.189624
   1.42389    -17.189582    -17.189582
   1.41691    -17.189546    -17.189546
   1.40994    -17.189508    -17.189509
   1.40296    -17.189467    -17.189467
   1.39598    -17.189425    -17.189425
   1.38901    -17.189390    -17.189390
   1.38203    -17.189352    -17.189352
   1.37505    -17.189311    -17.189311
   1.36808    -17.189272    -17.189272
   1.36110    -17.189241    -17.189242
   1.35412    -17.189200    -17.189201
   1.34715    -17.189168    -17.189168
   1.34017    -17.189134    -17.189134
   1.33319    -17.189088    -17.189089
   1.32622    -17.189058    -17.189058
   1.31924    -17.189028    -17.189028
   1.31226    -17.188995    -17.188995
   1.30529    -17.188959    -17.188959
   1.29831    -17.188932    -17.188932
   1.29133    -17.188903    -17.188903
   1.28436    -17.188887    -17.188887
   1.27738    -17.188858    -17.188858
   1.27040    -17.188841    -17.188842
   1.26343    -17.188819    -17.188819
   1.25645    -17.188793    -17.188793
   1.24947    -17.188766    -17.188767
   1.24250    -17.188747    -17.188748
   1.23552    -17.188736    -17.188736
   1.22854    -17.188723    -17.188723
   1.22157    -17.188713    -17.188713
   1.21459    -17.188699    -17.188699
   1.20761    -17.188692    -17.188692
   1.20064    -17.188682    -17.188683
   1.19366    -17.188682    -17.188683
   1.18668    -17.188680    -17.188680
   1.17971    -17.188679    -17.188680
   1.17971    -17.188679    -17.188680
   1.17573    -17.188693    -17.188694
   1.17175    -17.188735    -17.188736
   1.16777    -17.188806    -17.188806
   1.16379    -17.188901    -17.188901
   1.15981    -17.189030    -17.189030
   1.15584    -17.189180    -17.189180
   1.15186    -17.189361    -17.189361
   1.14788    -17.189570    -17.189571
   1.14390    -17.189808    -17.189808
   1.13992    -17.190073    -17.190073
   1.13595    -17.190371    -17.190371
   1.13197    -17.190695    -17.190695
   1.12799    -17.191043    -17.191043
   1.12401    -17.191424    -17.191424
   1.12003    -17.191828    -17.191828
   1.11606    -17.192252    -17.192252
   1.11208    -17.192706    -17.192706
   1.10810    -17.193191    -17.193191
   1.10412    -17.193702    -17.193703
   1.10014    -17.194237    -17.194237
   1.09616    -17.194804    -17.194804
   1.09219    -17.195401    -17.195401
   1.08821    -17.196026    -17.196026
   1.08423    -17.196677    -17.196678
   1.08025    -17.197357    -17.197357
   1.07627    -17.198057    -17.198057
   1.07230    -17.198784    -17.198784
   1.06832    -17.199539    -17.199539
   1.06434    -17.200314    -17.200314
   1.06036    -17.201115    -17.201115
   1.05638    -17.201950    -17.201950
   1.05241    -17.202810    -17.202811
   1.04843    -17.203695    -17.203696
   1.04445    -17.204603    -17.204603
   1.04047    -17.205530    -17.205531
   1.03649    -17.206489    -17.206489
   1.03251    -17.207471    -17.207471
   1.02854    -17.208478    -17.208479
   1.02456    -17.209513    -17.209514
   1.02058    -17.210575    -17.210575
   1.01660    -17.211658    -17.211659
   1.01262    -17.212763    -17.212764
   1.00865    -17.213891    -17.213891
   1.00467    -17.215047    -17.215047
   1.00069    -17.216224    -17.216225
   0.99671    -17.217434    -17.217434
   0.99273    -17.218655    -17.218655
   0.98876    -17.219892    -17.219892
   0.98478    -17.221167    -17.221167
   0.98080    -17.222456    -17.222456
   0.97682    -17.223767    -17.223767
   0.97284    -17.225099    -17.225100
   0.96886    -17.226453    -17.226453
   0.96489    -17.227829    -17.227829
   0.96091    -17.229229    -17.229229
   0.95693    -17.230649    -17.230649
   0.95295    -17.232093    -17.232093
   0.94897    -17.233546    -17.233547
   0.94500    -17.235025    -17.235026
   0.94102    -17.236520    -17.236521
   0.93704    -17.238037    -17.238037
   0.93306    -17.239570    -17.239570
   0.92908    -17.241127    -17.241128
   0.92511    -17.242704    -17.242704
   0.92113    -17.244296    -17.244296
   0.91715    -17.245909    -17.245909
   0.91317    -17.247540    -17.247540
   0.90919    -17.249184    -17.249184
   0.90521    -17.250856    -17.250857
   0.90124    -17.252540    -17.252540
   0.89726    -17.254232    -17.254232
   0.89328    -17.255949    -17.255949
   0.88930    -17.257687    -17.257687
   0.88532    -17.259431    -17.259431
   0.88135    -17.261188    -17.261188
   0.87737    -17.262970    -17.262970
   0.87339    -17.264761    -17.264761
   0.86941    -17.266572    -17.266572
   0.86543    -17.268398    -17.268398
   0.86543    -17.268398    -17.268398
   0.85846    -17.265239    -17.265239
   0.85148    -17.262079    -17.262079
   0.84450    -17.258931    -17.258931
   0.83753    -17.255791    -17.255792
