#K-Path(1/A)         Spin-Up(eV)   Spin-Down(eV)
# NKPTS & NBANDS: 150 160
# Band-Index    1
   0.32948    -16.578066    -16.580692
   0.34084    -16.591264    -16.593890
   0.35220    -16.603789    -16.606415
   0.36356    -16.615637    -16.618263
   0.37492    -16.626808    -16.629435
   0.38628    -16.637306    -16.639934
   0.39764    -16.647126    -16.649755
   0.40900    -16.656271    -16.658900
   0.42037    -16.664736    -16.667366
   0.43173    -16.672526    -16.675158
   0.44309    -16.679644    -16.682276
   0.45445    -16.686077    -16.688711
   0.46581    -16.691835    -16.694470
   0.47717    -16.696913    -16.699549
   0.48853    -16.701317    -16.703954
   0.49989    -16.705041    -16.707679
   0.51126    -16.708092    -16.710730
   0.52262    -16.710461    -16.713100
   0.53398    -16.712152    -16.714791
   0.54534    -16.713167    -16.715807
   0.55670    -16.713505    -16.716145
   0.55670    -16.713505    -16.716145
   0.56326    -16.745587    -16.747994
   0.56982    -16.778617    -16.781019
   0.57638    -16.811451    -16.813850
   0.58294    -16.844078    -16.846476
   0.58950    -16.876499    -16.878895
   0.59606    -16.908712    -16.911108
   0.60262    -16.940717    -16.943112
   0.60918    -16.972509    -16.974903
   0.61574    -17.004096    -17.006489
   0.62230    -17.035472    -17.037866
   0.62886    -17.066638    -17.069031
   0.63542    -17.097590    -17.099983
   0.64198    -17.128333    -17.130725
   0.64854    -17.158864    -17.161256
   0.65510    -17.189179    -17.191572
   0.66166    -17.219283    -17.221675
   0.66822    -17.249171    -17.251563
   0.67478    -17.278838    -17.281230
   0.68134    -17.308295    -17.310687
   0.68790    -17.337541    -17.339933
   0.69446    -17.366572    -17.368964
   0.70102    -17.395376    -17.397768
   0.70758    -17.423966    -17.426359
   0.71414    -17.452347    -17.454740
   0.72070    -17.480510    -17.482903
   0.72726    -17.508455    -17.510848
   0.73382    -17.536183    -17.538576
   0.74038    -17.563686    -17.566080
   0.74694    -17.590975    -17.593369
   0.75351    -17.618045    -17.620439
   0.76007    -17.644893    -17.647287
   0.76663    -17.671523    -17.673917
   0.77319    -17.697933    -17.700328
   0.77975    -17.724119    -17.726514
   0.78631    -17.750088    -17.752483
   0.79287    -17.775834    -17.778229
   0.79943    -17.801355    -17.803751
   0.80599    -17.826659    -17.829055
   0.81255    -17.851737    -17.854134
   0.81911    -17.876596    -17.878993
   0.82567    -17.901232    -17.903629
   0.83223    -17.925644    -17.928041
   0.83879    -17.949833    -17.952231
   0.84535    -17.973798    -17.976196
   0.85191    -17.997533    -17.999932
   0.85847    -18.021036    -18.023435
   0.86503    -18.044317    -18.046715
   0.87159    -18.067357    -18.069754
   0.87815    -18.088804    -18.091091
   0.87815    -18.088804    -18.091091
   0.89127    -18.066605    -18.069097
   0.90439    -18.042508    -18.045002
   0.91751    -18.017494    -18.019988
   0.93062    -17.991554    -17.994048
   0.94374    -17.964696    -17.967190
   0.95686    -17.936922    -17.939416
   0.96998    -17.908234    -17.910728
   0.98310    -17.878633    -17.881127
   0.99622    -17.848119    -17.850613
   1.00934    -17.816696    -17.819190
   1.02246    -17.784366    -17.786860
   1.03558    -17.751132    -17.753625
   1.04870    -17.716986    -17.719479
   1.06182    -17.681933    -17.684425
   1.07494    -17.645981    -17.648473
   1.08806    -17.609127    -17.611619
   1.10117    -17.571373    -17.573865
   1.11429    -17.532717    -17.535209
   1.12741    -17.493168    -17.495659
   1.14053    -17.452726    -17.455216
   1.15365    -17.411395    -17.413885
   1.16677    -17.369170    -17.371660
   1.17989    -17.326057    -17.328546
   1.19301    -17.282063    -17.284552
   1.20613    -17.237181    -17.239669
   1.21925    -17.191419    -17.193907
   1.23237    -17.144778    -17.147266
   1.24549    -17.097261    -17.099750
   1.25861    -17.048874    -17.051363
   1.27173    -16.999618    -17.002108
   1.28484    -16.949500    -16.951990
   1.29796    -16.898517    -16.901008
   1.31108    -16.846679    -16.849170
   1.32420    -16.793977    -16.796470
   1.33732    -16.740428    -16.742922
   1.35044    -16.686025    -16.688521
   1.36356    -16.630781    -16.633280
   1.37668    -16.574695    -16.577197
   1.38980    -16.517776    -16.520280
   1.40292    -16.460025    -16.462532
   1.41604    -16.401445    -16.403957
   1.42916    -16.342044    -16.344560
   1.44228    -16.281829    -16.284350
   1.45539    -16.220806    -16.223334
   1.46851    -16.158977    -16.161514
   1.48163    -16.096356    -16.098905
   1.49475    -16.032957    -16.035528
   1.50787    -15.968807    -15.972191
   1.52099    -15.908020    -15.911056
 
 
# Band-Index    4
   1.52099    -15.907113    -15.910517
   1.50787    -15.938907    -15.971365
   1.49475    -15.938280    -16.000957
   1.48163    -15.937118    -15.999916
   1.46851    -15.935481    -15.998362
   1.45539    -15.933380    -15.996353
   1.44228    -15.930817    -15.993899
   1.42916    -15.927798    -15.991005
   1.41604    -15.924327    -15.987676
   1.40292    -15.920411    -15.983916
   1.38980    -15.916053    -15.979732
   1.37668    -15.911261    -15.975128
   1.36356    -15.906042    -15.970111
   1.35044    -15.900402    -15.964689
   1.33732    -15.894351    -15.958869
   1.32420    -15.887896    -15.952660
   1.31108    -15.881047    -15.946070
   1.29796    -15.873814    -15.939110
   1.28484    -15.866208    -15.931789
   1.27173    -15.858240    -15.924119
   1.25861    -15.849922    -15.916112
   1.24549    -15.841266    -15.907780
   1.23237    -15.832288    -15.899136
   1.21925    -15.823001    -15.890194
   1.20613    -15.813420    -15.880969
   1.19301    -15.803561    -15.871476
   1.17989    -15.793442    -15.861731
   1.16677    -15.783080    -15.851753
   1.15365    -15.772494    -15.841558
   1.14053    -15.761703    -15.831166
   1.12741    -15.750728    -15.820596
   1.11429    -15.739591    -15.809871
   1.10117    -15.728314    -15.799010
   1.08806    -15.716922    -15.788039
   1.07494    -15.705439    -15.776981
   1.06182    -15.693893    -15.765862
   1.04870    -15.682310    -15.754709
   1.03558    -15.670720    -15.743550
   1.02246    -15.659153    -15.732416
   1.00934    -15.647643    -15.721338
   0.99622    -15.636222    -15.710350
   0.98310    -15.624926    -15.699487
   0.96998    -15.613792    -15.688786
   0.95686    -15.602859    -15.678285
   0.94374    -15.592169    -15.668027
   0.93062    -15.581761    -15.658053
   0.91751    -15.571680    -15.648407
   0.90439    -15.561972    -15.639137
   0.89127    -15.552698    -15.630309
   0.87815    -15.546371    -15.624452
   0.87815    -15.546371    -15.624452
   0.87159    -15.547748    -15.625502
   0.86503    -15.551909    -15.629446
   0.85847    -15.556026    -15.633347
   0.85191    -15.560081    -15.637190
   0.84535    -15.564072    -15.640973
   0.83879    -15.567996    -15.644692
   0.83223    -15.571852    -15.648346
   0.82567    -15.575638    -15.651934
   0.81911    -15.579353    -15.655454
   0.81255    -15.582995    -15.658905
   0.80599    -15.586562    -15.662285
   0.79943    -15.590054    -15.665594
   0.79287    -15.593469    -15.668829
   0.78631    -15.596805    -15.671991
   0.77975    -15.600063    -15.675077
   0.77319    -15.603240    -15.678086
   0.76663    -15.606339    -15.681019
   0.76007    -15.609372    -15.683873
   0.75351    -15.625550    -15.686650
   0.74694    -15.664128    -15.689363
   0.74038    -15.702672    -15.705642
   0.73382    -15.741097    -15.743888
   0.72726    -15.779392    -15.782090
   0.72070    -15.817541    -15.820178
   0.71414    -15.855532    -15.858125
   0.70758    -15.893360    -15.895920
