#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  40
# Band-Index    1
   1.53949    -13.448976  0.708  0.061  0.037  0.000  0.000  0.107  0.000  0.000  0.068  0.981
   1.55681    -13.429089  0.704  0.064  0.036  0.000  0.000  0.114  0.000  0.000  0.064  0.982
   1.57412    -13.409624  0.701  0.066  0.035  0.000  0.000  0.120  0.000  0.000  0.060  0.983
   1.59144    -13.390589  0.698  0.069  0.034  0.000  0.000  0.127  0.000  0.000  0.056  0.984
   1.60875    -13.372121  0.695  0.072  0.032  0.000  0.000  0.133  0.000  0.000  0.053  0.985
   1.62607    -13.354181  0.692  0.075  0.031  0.000  0.000  0.140  0.000  0.000  0.049  0.986
   1.64338    -13.336827  0.688  0.077  0.030  0.000  0.000  0.146  0.000  0.000  0.045  0.987
   1.66070    -13.320139  0.685  0.080  0.029  0.000  0.000  0.153  0.000  0.000  0.041  0.988
   1.67801    -13.304118  0.682  0.082  0.027  0.000  0.000  0.159  0.000  0.000  0.038  0.988
   1.69532    -13.288783  0.679  0.085  0.026  0.000  0.000  0.165  0.000  0.000  0.035  0.989
   1.71264    -13.274180  0.676  0.087  0.025  0.000  0.000  0.171  0.000  0.000  0.031  0.990
   1.72995    -13.260257  0.673  0.089  0.024  0.000  0.000  0.177  0.000  0.000  0.028  0.990
   1.74727    -13.247105  0.670  0.091  0.023  0.000  0.000  0.183  0.000  0.000  0.025  0.992
   1.76458    -13.234717  0.668  0.093  0.021  0.000  0.000  0.188  0.000  0.000  0.022  0.992
   1.78190    -13.223112  0.665  0.095  0.020  0.000  0.000  0.193  0.000  0.000  0.020  0.993
   1.79921    -13.212269  0.663  0.096  0.019  0.000  0.000  0.198  0.000  0.000  0.017  0.994
   1.81652    -13.202199  0.661  0.097  0.018  0.001  0.000  0.202  0.000  0.002  0.015  0.995
   1.83384    -13.194107  0.643  0.001  0.011  0.107  0.000  0.002  0.000  0.231  0.000  0.995
   1.85115    -13.187875  0.643  0.000  0.011  0.108  0.000  0.000  0.000  0.232  0.000  0.996
   1.86847    -13.182084  0.643  0.000  0.012  0.108  0.000  0.000  0.000  0.233  0.000  0.996
