#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  40
# Band-Index    1
   1.40435    -13.274471  0.630  0.000  0.009  0.096  0.000  0.000  0.000  0.206  0.000  0.943
   1.42170    -13.265420  0.630  0.000  0.009  0.096  0.000  0.000  0.000  0.207  0.000  0.944
   1.43905    -13.256148  0.631  0.000  0.009  0.096  0.000  0.000  0.000  0.207  0.000  0.944
   1.45641    -13.246676  0.631  0.000  0.009  0.096  0.000  0.000  0.000  0.207  0.000  0.945
   1.47376    -13.237053  0.632  0.000  0.009  0.096  0.000  0.000  0.000  0.207  0.000  0.945
   1.49111    -13.227313  0.633  0.000  0.009  0.096  0.000  0.000  0.000  0.207  0.000  0.946
   1.50846    -13.217442  0.633  0.000  0.009  0.096  0.000  0.000  0.000  0.208  0.000  0.947
   1.52581    -13.207469  0.634  0.000  0.009  0.096  0.000  0.000  0.000  0.208  0.000  0.948
   1.54316    -13.197454  0.634  0.000  0.009  0.096  0.000  0.000  0.000  0.208  0.000  0.948
   1.56051    -13.187369  0.635  0.000  0.009  0.096  0.000  0.000  0.000  0.208  0.000  0.949
   1.57787    -13.177282  0.636  0.000  0.009  0.096  0.000  0.000  0.000  0.208  0.000  0.949
   1.59522    -13.167200  0.636  0.000  0.010  0.096  0.000  0.000  0.000  0.209  0.000  0.951
   1.61257    -13.157167  0.637  0.000  0.010  0.096  0.000  0.000  0.000  0.209  0.000  0.952
   1.62992    -13.147225  0.638  0.000  0.010  0.095  0.000  0.000  0.000  0.209  0.000  0.953
   1.64727    -13.137423  0.638  0.000  0.010  0.095  0.000  0.000  0.000  0.209  0.000  0.953
   1.66462    -13.127732  0.639  0.000  0.010  0.095  0.000  0.000  0.000  0.210  0.000  0.954
   1.68197    -13.118220  0.640  0.000  0.010  0.095  0.000  0.000  0.000  0.210  0.000  0.954
   1.69933    -13.108888  0.640  0.000  0.010  0.095  0.000  0.000  0.000  0.210  0.000  0.956
   1.71668    -13.099787  0.641  0.000  0.010  0.095  0.000  0.000  0.000  0.210  0.000  0.957
   1.73403    -13.090957  0.642  0.000  0.010  0.095  0.000  0.000  0.000  0.210  0.000  0.957
   1.75138    -13.082405  0.642  0.000  0.010  0.095  0.000  0.000  0.000  0.211  0.000  0.958
   1.76873    -13.074177  0.643  0.000  0.010  0.095  0.000  0.000  0.000  0.211  0.000  0.959
   1.78608    -13.066303  0.643  0.000  0.010  0.095  0.000  0.000  0.000  0.211  0.000  0.959
   1.80343    -13.058796  0.644  0.000  0.010  0.095  0.000  0.000  0.000  0.211  0.000  0.961
   1.82079    -13.051670  0.644  0.000  0.010  0.095  0.000  0.000  0.000  0.211  0.000  0.961
   1.83814    -13.044966  0.645  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.962
   1.85549    -13.038698  0.645  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.962
   1.87284    -13.032926  0.646  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.962
   1.89019    -13.027631  0.646  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.963
   1.90754    -13.022833  0.646  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.963
   1.92489    -13.018559  0.646  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.963
   1.94225    -13.014802  0.647  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.964
   1.95960    -13.011606  0.647  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.964
   1.97695    -13.008952  0.647  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.965
   1.99430    -13.006888  0.647  0.000  0.010  0.095  0.000  0.000  0.000  0.213  0.000  0.965
   2.01165    -13.005426  0.648  0.000  0.010  0.095  0.000  0.000  0.000  0.213  0.000  0.965
   2.02900    -13.004520  0.648  0.000  0.010  0.095  0.000  0.000  0.000  0.213  0.000  0.965
   2.04635    -13.004239  0.648  0.000  0.010  0.095  0.000  0.000  0.000  0.213  0.000  0.965
   2.04635    -13.004239  0.648  0.000  0.010  0.095  0.000  0.000  0.000  0.213  0.000  0.965
   2.07088    -13.004734  0.648  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.965
   2.09541    -13.006189  0.647  0.000  0.010  0.095  0.000  0.000  0.000  0.212  0.000  0.964
   2.11993    -13.008634  0.648  0.000  0.010  0.095  0.000  0.000  0.000  0.211  0.001  0.964
   2.14446    -13.012068  0.648  0.000  0.010  0.094  0.000  0.000  0.000  0.210  0.001  0.964
   2.16898    -13.016525  0.648  0.000  0.011  0.093  0.000  0.001  0.000  0.207  0.002  0.963
   2.19351    -13.022001  0.650  0.001  0.011  0.093  0.000  0.002  0.000  0.205  0.002  0.963
   2.21803    -13.028552  0.650  0.001  0.011  0.091  0.000  0.003  0.000  0.201  0.003  0.961
   2.24256    -13.036246  0.652  0.002  0.011  0.090  0.000  0.005  0.000  0.197  0.003  0.960
   2.26708    -13.045086  0.654  0.004  0.011  0.088  0.000  0.007  0.000  0.191  0.004  0.958
   2.29161    -13.055111  0.656  0.005  0.013  0.085  0.000  0.010  0.000  0.184  0.004  0.957
   2.31613    -13.066423  0.658  0.007  0.012  0.082  0.000  0.014  0.000  0.177  0.004  0.954
   2.34066    -13.079026  0.660  0.009  0.012  0.079  0.000  0.018  0.000  0.168  0.004  0.951
   2.36518    -13.093036  0.662  0.011  0.012  0.076  0.000  0.022  0.000  0.160  0.004  0.947
   2.38971    -13.108350  0.665  0.014  0.013  0.073  0.000  0.026  0.000  0.151  0.004  0.944
   2.41423    -13.125040  0.667  0.015  0.011  0.069  0.000  0.029  0.000  0.142  0.004  0.940
   2.43876    -13.143199  0.669  0.017  0.011  0.066  0.000  0.032  0.000  0.134  0.004  0.935
   2.46328    -13.162741  0.671  0.019  0.011  0.063  0.000  0.034  0.000  0.126  0.004  0.930
   2.48781    -13.183673  0.674  0.020  0.012  0.060  0.000  0.036  0.000  0.119  0.004  0.925
   2.51234    -13.206027  0.675  0.020  0.012  0.057  0.000  0.037  0.000  0.112  0.003  0.917
   2.53686    -13.229760  0.676  0.021  0.012  0.055  0.000  0.037  0.000  0.105  0.003  0.910
   2.56139    -13.254885  0.676  0.021  0.011  0.052  0.000  0.037  0.000  0.098  0.003  0.901
   2.58591    -13.281397  0.676  0.021  0.011  0.050  0.000  0.036  0.000  0.092  0.003  0.891
   2.61044    -13.309305  0.674  0.021  0.011  0.047  0.000  0.035  0.000  0.086  0.003  0.879
   2.63496    -13.338552  0.671  0.021  0.011  0.045  0.000  0.034  0.000  0.080  0.003  0.865
   2.65949    -13.369102  0.666  0.020  0.011  0.042  0.000  0.032  0.000  0.075  0.003  0.852
   2.68401    -13.400902  0.659  0.019  0.011  0.040  0.000  0.030  0.001  0.069  0.003  0.834
   2.70854    -13.433873  0.651  0.019  0.011  0.037  0.000  0.028  0.001  0.064  0.003  0.814
   2.73306    -13.468009  0.641  0.018  0.011  0.035  0.000  0.026  0.001  0.059  0.003  0.793
   2.75759    -13.503132  0.628  0.016  0.010  0.032  0.000  0.024  0.001  0.053  0.003  0.769
   2.78211    -13.539173  0.613  0.015  0.010  0.030  0.000  0.022  0.001  0.049  0.003  0.743
   2.80664    -13.576013  0.597  0.014  0.010  0.027  0.000  0.020  0.001  0.044  0.003  0.717
   2.83116    -13.613469  0.580  0.013  0.010  0.025  0.000  0.017  0.001  0.039  0.003  0.689
   2.85569    -13.651373  0.562  0.012  0.010  0.023  0.000  0.016  0.001  0.035  0.003  0.661
   2.88021    -13.689599  0.544  0.011  0.009  0.021  0.000  0.014  0.001  0.031  0.003  0.633
   2.90474    -13.727916  0.525  0.010  0.009  0.018  0.000  0.012  0.001  0.028  0.003  0.607
   2.92926    -13.766165  0.507  0.009  0.009  0.017  0.000  0.011  0.001  0.024  0.003  0.582
   2.95379    -13.804139  0.491  0.008  0.009  0.015  0.000  0.009  0.001  0.021  0.003  0.558
   2.97832    -13.841658  0.475  0.007  0.009  0.013  0.000  0.008  0.001  0.019  0.003  0.535
   3.00284    -13.878557  0.461  0.006  0.007  0.012  0.000  0.007  0.001  0.016  0.003  0.515
   3.02737    -13.914651  0.447  0.005  0.007  0.010  0.000  0.006  0.001  0.014  0.003  0.497
   3.05189    -13.949781  0.437  0.005  0.007  0.009  0.000  0.005  0.001  0.012  0.003  0.480
   3.07642    -13.983797  0.426  0.004  0.007  0.008  0.000  0.005  0.001  0.011  0.003  0.465
   3.10094    -14.016562  0.417  0.004  0.007  0.007  0.000  0.004  0.001  0.009  0.003  0.452
   3.12547    -14.047952  0.409  0.003  0.007  0.006  0.000  0.003  0.001  0.008  0.003  0.441
   3.14999    -14.077801  0.402  0.003  0.007  0.005  0.000  0.003  0.001  0.007  0.003  0.431
   3.17452    -14.106084  0.396  0.002  0.007  0.004  0.000  0.002  0.002  0.006  0.003  0.422
   3.19904    -14.132676  0.390  0.002  0.007  0.004  0.000  0.002  0.002  0.005  0.003  0.415
   3.22357    -14.157472  0.386  0.002  0.006  0.003  0.000  0.002  0.002  0.004  0.003  0.407
   3.24809    -14.180396  0.383  0.001  0.006  0.003  0.000  0.001  0.002  0.003  0.003  0.402
   3.27262    -14.201296  0.379  0.001  0.006  0.002  0.000  0.001  0.002  0.003  0.003  0.397
   3.29714    -14.220241  0.376  0.001  0.006  0.002  0.000  0.001  0.002  0.002  0.003  0.393
   3.32167    -14.237076  0.375  0.001  0.006  0.001  0.000  0.001  0.002  0.001  0.003  0.390
   3.34619    -14.251757  0.373  0.001  0.006  0.001  0.000  0.000  0.002  0.001  0.003  0.386
   3.37072    -14.264243  0.372  0.000  0.006  0.001  0.000  0.000  0.002  0.001  0.002  0.385
   3.39525    -14.274530  0.370  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.383
   3.41977    -14.282524  0.370  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.381
   3.44430    -14.288249  0.369  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.380
   3.46882    -14.291667  0.369  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.379
   3.49335    -14.292805  0.369  0.000  0.006  0.000  0.000  0.000  0.002  0.000  0.002  0.379
 
 
# Band-Index    2
   3.49335    -14.089320  0.449  0.000  0.009  0.000  0.000  0.000  0.003  0.000  0.001  0.463
   3.46882    -14.088292  0.449  0.000  0.009  0.000  0.000  0.000  0.003  0.000  0.001  0.463
   3.44430    -14.085115  0.449  0.000  0.009  0.000  0.000  0.000  0.003  0.000  0.001  0.463
   3.41977    -14.079767  0.448  0.000  0.009  0.000  0.000  0.000  0.003  0.000  0.001  0.463
   3.39525    -14.072323  0.446  0.000  0.009  0.000  0.000  0.001  0.003  0.000  0.001  0.461
   3.37072    -14.062787  0.445  0.001  0.009  0.001  0.000  0.001  0.003  0.001  0.001  0.461
   3.34619    -14.051204  0.443  0.001  0.009  0.001  0.000  0.001  0.003  0.001  0.001  0.460
   3.32167    -14.037604  0.440  0.001  0.009  0.001  0.000  0.002  0.003  0.001  0.001  0.458
   3.29714    -14.022006  0.437  0.002  0.009  0.001  0.000  0.002  0.003  0.001  0.001  0.457
   3.27262    -14.004520  0.432  0.002  0.009  0.002  0.000  0.003  0.003  0.002  0.001  0.454
   3.24809    -13.985203  0.429  0.003  0.009  0.002  0.000  0.003  0.003  0.002  0.001  0.450
   3.22357    -13.964057  0.423  0.003  0.010  0.002  0.000  0.004  0.003  0.002  0.001  0.447
   3.19904    -13.941178  0.417  0.004  0.009  0.003  0.000  0.005  0.002  0.003  0.001  0.444
   3.17452    -13.916651  0.411  0.004  0.008  0.003  0.000  0.006  0.002  0.003  0.001  0.438
